0, -80, (-2, -2), (-2, -2), (-2, -2), (-2, -2), (-2, -2)
1, -80, (-2, -2), (-2, -2), (-2, -2), (-2, -2), (0, 0)
2, -80, (-2, -2), (-2, -2), (-2, -2), (-2, -2), (2, 2)
3, -80, (-2, -2), (-2, -2), (-2, -2), (-2, -2), (-2, 2)
4, -80, (-2, -2), (-2, -2), (-2, -2), (-2, -2), (2, -2)
156, -80, (-2, -2), (0, 0), (0, 0), (0, 0), (0, 0)
312, -80, (-2, -2), (2, 2), (2, 2), (2, 2), (2, 2)
468, -80, (-2, -2), (-2, 2), (-2, 2), (-2, 2), (-2, 2)
624, -80, (-2, -2), (2, -2), (2, -2), (2, -2), (2, -2)
625, -80, (0, 0), (-2, -2), (-2, -2), (-2, -2), (-2, -2)
780, -80, (0, 0), (0, 0), (0, 0), (0, 0), (-2, -2)
781, -80, (0, 0), (0, 0), (0, 0), (0, 0), (0, 0)
782, -80, (0, 0), (0, 0), (0, 0), (0, 0), (2, 2)
783, -80, (0, 0), (0, 0), (0, 0), (0, 0), (-2, 2)
784, -80, (0, 0), (0, 0), (0, 0), (0, 0), (2, -2)
937, -80, (0, 0), (2, 2), (2, 2), (2, 2), (2, 2)
1093, -80, (0, 0), (-2, 2), (-2, 2), (-2, 2), (-2, 2)
1249, -80, (0, 0), (2, -2), (2, -2), (2, -2), (2, -2)
1250, -80, (2, 2), (-2, -2), (-2, -2), (-2, -2), (-2, -2)
1406, -80, (2, 2), (0, 0), (0, 0), (0, 0), (0, 0)
1560, -80, (2, 2), (2, 2), (2, 2), (2, 2), (-2, -2)
1561, -80, (2, 2), (2, 2), (2, 2), (2, 2), (0, 0)
1562, -80, (2, 2), (2, 2), (2, 2), (2, 2), (2, 2)
1563, -80, (2, 2), (2, 2), (2, 2), (2, 2), (-2, 2)
1564, -80, (2, 2), (2, 2), (2, 2), (2, 2), (2, -2)
1718, -80, (2, 2), (-2, 2), (-2, 2), (-2, 2), (-2, 2)
1874, -80, (2, 2), (2, -2), (2, -2), (2, -2), (2, -2)
1875, -80, (-2, 2), (-2, -2), (-2, -2), (-2, -2), (-2, -2)
2031, -80, (-2, 2), (0, 0), (0, 0), (0, 0), (0, 0)
2187, -80, (-2, 2), (2, 2), (2, 2), (2, 2), (2, 2)
2340, -80, (-2, 2), (-2, 2), (-2, 2), (-2, 2), (-2, -2)
2341, -80, (-2, 2), (-2, 2), (-2, 2), (-2, 2), (0, 0)
2342, -80, (-2, 2), (-2, 2), (-2, 2), (-2, 2), (2, 2)
2343, -80, (-2, 2), (-2, 2), (-2, 2), (-2, 2), (-2, 2)
2344, -80, (-2, 2), (-2, 2), (-2, 2), (-2, 2), (2, -2)
2499, -80, (-2, 2), (2, -2), (2, -2), (2, -2), (2, -2)
2500, -80, (2, -2), (-2, -2), (-2, -2), (-2, -2), (-2, -2)
2656, -80, (2, -2), (0, 0), (0, 0), (0, 0), (0, 0)
2812, -80, (2, -2), (2, 2), (2, 2), (2, 2), (2, 2)
2968, -80, (2, -2), (-2, 2), (-2, 2), (-2, 2), (-2, 2)
3120, -80, (2, -2), (2, -2), (2, -2), (2, -2), (-2, -2)
3121, -80, (2, -2), (2, -2), (2, -2), (2, -2), (0, 0)
3122, -80, (2, -2), (2, -2), (2, -2), (2, -2), (2, 2)
3123, -80, (2, -2), (2, -2), (2, -2), (2, -2), (-2, 2)
3124, -80, (2, -2), (2, -2), (2, -2), (2, -2), (2, -2)
3125, -60, (-2, -2), (-2, -2), (-2, -2), (-2, -2), (-2, -2)
3126, -60, (-2, -2), (-2, -2), (-2, -2), (-2, -2), (0, 0)
3127, -60, (-2, -2), (-2, -2), (-2, -2), (-2, -2), (2, 2)
3128, -60, (-2, -2), (-2, -2), (-2, -2), (-2, -2), (-2, 2)
3129, -60, (-2, -2), (-2, -2), (-2, -2), (-2, -2), (2, -2)
3281, -60, (-2, -2), (0, 0), (0, 0), (0, 0), (0, 0)
3437, -60, (-2, -2), (2, 2), (2, 2), (2, 2), (2, 2)
3593, -60, (-2, -2), (-2, 2), (-2, 2), (-2, 2), (-2, 2)
3749, -60, (-2, -2), (2, -2), (2, -2), (2, -2), (2, -2)
3750, -60, (0, 0), (-2, -2), (-2, -2), (-2, -2), (-2, -2)
3905, -60, (0, 0), (0, 0), (0, 0), (0, 0), (-2, -2)
3906, -60, (0, 0), (0, 0), (0, 0), (0, 0), (0, 0)
3907, -60, (0, 0), (0, 0), (0, 0), (0, 0), (2, 2)
3908, -60, (0, 0), (0, 0), (0, 0), (0, 0), (-2, 2)
3909, -60, (0, 0), (0, 0), (0, 0), (0, 0), (2, -2)
4062, -60, (0, 0), (2, 2), (2, 2), (2, 2), (2, 2)
4218, -60, (0, 0), (-2, 2), (-2, 2), (-2, 2), (-2, 2)
4374, -60, (0, 0), (2, -2), (2, -2), (2, -2), (2, -2)
4375, -60, (2, 2), (-2, -2), (-2, -2), (-2, -2), (-2, -2)
4531, -60, (2, 2), (0, 0), (0, 0), (0, 0), (0, 0)
4685, -60, (2, 2), (2, 2), (2, 2), (2, 2), (-2, -2)
4686, -60, (2, 2), (2, 2), (2, 2), (2, 2), (0, 0)
4687, -60, (2, 2), (2, 2), (2, 2), (2, 2), (2, 2)
4688, -60, (2, 2), (2, 2), (2, 2), (2, 2), (-2, 2)
4689, -60, (2, 2), (2, 2), (2, 2), (2, 2), (2, -2)
4843, -60, (2, 2), (-2, 2), (-2, 2), (-2, 2), (-2, 2)
4999, -60, (2, 2), (2, -2), (2, -2), (2, -2), (2, -2)
5000, -60, (-2, 2), (-2, -2), (-2, -2), (-2, -2), (-2, -2)
5156, -60, (-2, 2), (0, 0), (0, 0), (0, 0), (0, 0)
5312, -60, (-2, 2), (2, 2), (2, 2), (2, 2), (2, 2)
5465, -60, (-2, 2), (-2, 2), (-2, 2), (-2, 2), (-2, -2)
5466, -60, (-2, 2), (-2, 2), (-2, 2), (-2, 2), (0, 0)
5467, -60, (-2, 2), (-2, 2), (-2, 2), (-2, 2), (2, 2)
5468, -60, (-2, 2), (-2, 2), (-2, 2), (-2, 2), (-2, 2)
5469, -60, (-2, 2), (-2, 2), (-2, 2), (-2, 2), (2, -2)
5624, -60, (-2, 2), (2, -2), (2, -2), (2, -2), (2, -2)
5625, -60, (2, -2), (-2, -2), (-2, -2), (-2, -2), (-2, -2)
5781, -60, (2, -2), (0, 0), (0, 0), (0, 0), (0, 0)
5937, -60, (2, -2), (2, 2), (2, 2), (2, 2), (2, 2)
6093, -60, (2, -2), (-2, 2), (-2, 2), (-2, 2), (-2, 2)
6245, -60, (2, -2), (2, -2), (2, -2), (2, -2), (-2, -2)
6246, -60, (2, -2), (2, -2), (2, -2), (2, -2), (0, 0)
6247, -60, (2, -2), (2, -2), (2, -2), (2, -2), (2, 2)
6248, -60, (2, -2), (2, -2), (2, -2), (2, -2), (-2, 2)
6249, -60, (2, -2), (2, -2), (2, -2), (2, -2), (2, -2)
6250, -40, (-2, -2), (-2, -2), (-2, -2), (-2, -2), (-2, -2)
6251, -40, (-2, -2), (-2, -2), (-2, -2), (-2, -2), (0, 0)
6252, -40, (-2, -2), (-2, -2), (-2, -2), (-2, -2), (2, 2)
6253, -40, (-2, -2), (-2, -2), (-2, -2), (-2, -2), (-2, 2)
6254, -40, (-2, -2), (-2, -2), (-2, -2), (-2, -2), (2, -2)
6406, -40, (-2, -2), (0, 0), (0, 0), (0, 0), (0, 0)
6562, -40, (-2, -2), (2, 2), (2, 2), (2, 2), (2, 2)
6718, -40, (-2, -2), (-2, 2), (-2, 2), (-2, 2), (-2, 2)
6874, -40, (-2, -2), (2, -2), (2, -2), (2, -2), (2, -2)
6875, -40, (0, 0), (-2, -2), (-2, -2), (-2, -2), (-2, -2)
7030, -40, (0, 0), (0, 0), (0, 0), (0, 0), (-2, -2)
7031, -40, (0, 0), (0, 0), (0, 0), (0, 0), (0, 0)
7032, -40, (0, 0), (0, 0), (0, 0), (0, 0), (2, 2)
7033, -40, (0, 0), (0, 0), (0, 0), (0, 0), (-2, 2)
7034, -40, (0, 0), (0, 0), (0, 0), (0, 0), (2, -2)
7187, -40, (0, 0), (2, 2), (2, 2), (2, 2), (2, 2)
7343, -40, (0, 0), (-2, 2), (-2, 2), (-2, 2), (-2, 2)
7499, -40, (0, 0), (2, -2), (2, -2), (2, -2), (2, -2)
7500, -40, (2, 2), (-2, -2), (-2, -2), (-2, -2), (-2, -2)
7656, -40, (2, 2), (0, 0), (0, 0), (0, 0), (0, 0)
7810, -40, (2, 2), (2, 2), (2, 2), (2, 2), (-2, -2)
7811, -40, (2, 2), (2, 2), (2, 2), (2, 2), (0, 0)
7812, -40, (2, 2), (2, 2), (2, 2), (2, 2), (2, 2)
7813, -40, (2, 2), (2, 2), (2, 2), (2, 2), (-2, 2)
7814, -40, (2, 2), (2, 2), (2, 2), (2, 2), (2, -2)
7968, -40, (2, 2), (-2, 2), (-2, 2), (-2, 2), (-2, 2)
8124, -40, (2, 2), (2, -2), (2, -2), (2, -2), (2, -2)
8125, -40, (-2, 2), (-2, -2), (-2, -2), (-2, -2), (-2, -2)
8281, -40, (-2, 2), (0, 0), (0, 0), (0, 0), (0, 0)
8437, -40, (-2, 2), (2, 2), (2, 2), (2, 2), (2, 2)
8590, -40, (-2, 2), (-2, 2), (-2, 2), (-2, 2), (-2, -2)
8591, -40, (-2, 2), (-2, 2), (-2, 2), (-2, 2), (0, 0)
8592, -40, (-2, 2), (-2, 2), (-2, 2), (-2, 2), (2, 2)
8593, -40, (-2, 2), (-2, 2), (-2, 2), (-2, 2), (-2, 2)
8594, -40, (-2, 2), (-2, 2), (-2, 2), (-2, 2), (2, -2)
